10944750	25687,25372,28752
12028500	21392,11196,13390
12154500	8689,9471,17640,2568,19197,7868,9549
1620500	1195,5445,28774,23735,5833
4716750	22126,2683,29202
4844000	28362,15934,25483,21983,24196,12899
5654000	5896,29231
5780000	18736,5814,15021,17214,21336,17061,7061,22313,19523,1000,22529,17959,15315,15811,11022
6061250	10893,16463,22359
6458500	8637
10224750	1481
10229250	8689
10302500	14567,2626,7409,14065,6630,28164,26087
1110750	20578,12426
12015000	26900,7552
12173500	554,3627,9817,15405,28184,1325,26168
1971500	18712,4479,11000,17550,25329,14917,7096,19166
3963750	16624,3809,4949,7356,13737,26972,251,11330,21067
434750	4571,19394,27511,16972,21911
5220750	28438,8689
5254500	7868
6571000	12162,13878,4254,1773,5470
6849750	2199,12161,6757,27965
7703750	7868,18075,22908
8149250	15631,11679,2367,11196
8757750	18024,26288,23928
9288000	2683
10696000	14887,11022,10635,3458
11391250	28924
1661750	15315
1832000	25687
2771250	14694,12606,2513,23284
2852250	14261,27415
3211250	17706,11076,27155,6148,10393,12431
3581250	22126,23482,1325
4256500	2410
5034000	7465
5901250	14575
6257000	23563,23628
9720000	29442,13830
11362000	10240,8693,17232,4324
11687000	8689
12008000	25618
12215000	12352,8637,6672,14942,7868
1969000	15887,12220,18002
4770500	15315,13554,9165,10404,6988,20297,14020
7002750	1481
799000	27791,24553
8102000	768
9035750	7850,9881,20661,17977
9163000	5594,6096,28184
9244000	2367,7868,13442,16177
1046250	27791
10768750	19993
1904750	22484,23928
1906000	9532,2438,12220,2683,11448
1909250	20516,15992,6326,504,14209,10014,24645,23470
2874500	10840,7868
2921750	25272,29547,15584,11201,143,27791
3524750	26871
4184250	15315,12220,11196,4949,23928,241,14020
4215750	21085,11391,9878,23928,4571
5108000	15094,29547,4254,29203
6874250	2683,11080,15584,14265,155,18805,4324,28410,8637,12168
8040000	8257,17400,22607,18024,17084,239,23285,15138,13872,9792,27791
9103250	6655
10095000	14261
10831750	5640
11434750	18758,7071,9985
2078000	17449,14902
3590000	28924
3787750	26969,2610
5898500	23433
6523250	11196
7367000	21336,15686,21975
7687500	16453,3787,14498,26607,28625,22994
10064500	22583
11340250	14294
11612500	16672,5848,19974
12065000	12453
3035250	14020,11080
371250	7620
42000	3592
5754500	15896,3954,8725,12647,8307
8649250	16540
9173750	16110,16540
9628250	23779
9706000	3809,29099,13765,23340,12168,20297,22094
981000	11176,8689,4949,14153,27160,12394
10054250	19660,4667,10970,11159,1079,20297
